analytical,thomas
0,0.0042698
0.00080198,0.00436927
0.00163067,0.00463543
0.00251325,0.00507473
0.00347776,0.00569773
0.00455363,0.00651911
0.00577202,0.00755778
0.00716628,0.00883696
0.00877236,0.0103843
0.0106291,0.012232
0.0127787,0.0144169
0.0152668,0.0169805
0.0181428,0.019969
0.0214604,0.0234337
0.025277,0.0274304
0.0296545,0.0320196
0.0346586,0.0372665
0.0403593,0.0432405
0.0468301,0.0500151
0.0541483,0.0576673
0.0623937,0.0662773
0.0716489,0.0759276
0.0819982,0.0867024
0.0935267,0.0986869
0.10632,0.111966
0.120462,0.126624
0.136035,0.142741
0.153118,0.160397
0.171785,0.179663
0.192106,0.200607
0.21414,0.223287
0.237941,0.247754
0.263552,0.274046
0.291004,0.302193
0.320316,0.332209
0.351494,0.364094
0.384529,0.397836
0.419396,0.433405
0.456056,0.470755
0.494453,0.509823
0.534514,0.550532
0.57615,0.592786
0.619257,0.636475
0.663714,0.681471
0.709388,0.727635
0.756131,0.774814
0.803785,0.822844
0.852179,0.871549
0.901136,0.920749
0.950473,0.970255
1,1
